Tumor_Sample_Barcode	GAMBL-only	Intersect	Reddy-only
Reddy_3468T	8	4	7
Reddy_3470T	2	0	3
Reddy_3471T	3	3	5
Reddy_3472T	3	4	0
Reddy_3473T	0	0	2
Reddy_3474T	5	6	4
Reddy_3475T	2	0	4
Reddy_3476T	4	7	5
Reddy_3478T	2	0	0
Reddy_3479T	6	7	1
Reddy_3480T	2	5	0
Reddy_3481T	2	3	1
Reddy_3482T	7	6	4
Reddy_3483T	5	4	4
Reddy_3484T	1	1	1
Reddy_3485T	2	4	6
Reddy_3486T	4	3	7
Reddy_3487T	0	1	1
Reddy_3488T	7	1	11
Reddy_3489T	0	1	8
Reddy_3490T	4	0	6
Reddy_3493T	0	0	7
Reddy_3495T	1	0	4
Reddy_3496T	4	6	8
Reddy_3497T	0	0	1
Reddy_3498T	3	2	3
Reddy_3500T	8	2	4
Reddy_3502T	2	4	5
Reddy_3503T	5	5	3
Reddy_3504T	7	4	6
Reddy_3505T	1	1	3
Reddy_3506T	3	5	0
Reddy_3507T	1	0	0
Reddy_3508T	4	1	1
Reddy_3510T	1	1	3
Reddy_3511T	5	0	8
Reddy_3512T	0	1	1
Reddy_3513T	4	1	5
Reddy_3514T	5	1	0
Reddy_3515T	4	1	4
Reddy_3517T	2	1	6
Reddy_3519T	3	7	3
Reddy_3520T	1	0	5
Reddy_3521T	1	0	3
Reddy_3522T	3	0	1
Reddy_3523T	4	3	4
Reddy_3525T	2	8	2
Reddy_3527T	2	2	1
Reddy_3528T	2	3	7
Reddy_3529T	2	1	5
Reddy_3531T	2	1	0
Reddy_3532T	3	4	5
Reddy_3535T	7	4	3
Reddy_3536T	2	2	5
Reddy_3537T	3	0	5
Reddy_3538T	6	4	0
Reddy_3539T	0	0	6
Reddy_3540T	1	2	1
Reddy_3542T	1	2	3
Reddy_3545T	1	3	4
Reddy_3546T	1	0	5
Reddy_3547T	6	2	6
Reddy_3548T	7	13	6
Reddy_3549T	1	3	7
Reddy_3551T	3	7	2
Reddy_3552T	1	4	0
Reddy_3555T	6	4	1
Reddy_3556T	0	1	1
Reddy_3557T	0	0	4
Reddy_3558T	0	1	2
Reddy_3559T	4	2	4
Reddy_3560T	4	3	1
Reddy_3561T	12	7	1
Reddy_3562T	3	4	3
Reddy_3563T	1	5	2
Reddy_3565T	2	4	1
Reddy_3566T	5	4	3
Reddy_3580T	2	1	4
Reddy_3582T	4	3	9
Reddy_3584T	0	1	1
Reddy_3585T	0	0	9
Reddy_3586T	3	2	11
Reddy_3587T	2	1	4
Reddy_3589T	4	0	5
Reddy_3590T	3	6	5
Reddy_3591T	1	0	0
Reddy_3592T	1	0	4
Reddy_3593T	9	3	6
Reddy_3594T	3	3	6
Reddy_3595T	3	2	4
Reddy_3596T	2	0	4
Reddy_3597T	1	1	6
Reddy_3600T	6	5	6
Reddy_3601T	5	8	3
Reddy_3602T	7	8	13
Reddy_3603T	0	0	4
Reddy_3604T	1	0	3
Reddy_3606T	1	0	1
Reddy_3607T	1	1	7
Reddy_3608T	1	4	2
Reddy_3609T	2	6	10
Reddy_3610T	2	1	11
Reddy_3611T	0	0	6
Reddy_3612T	0	2	1
Reddy_3613T	1	0	7
Reddy_3614T	1	0	4
Reddy_3615T	0	0	2
Reddy_3616T	4	5	3
Reddy_3617T	1	4	5
Reddy_3618T	5	4	3
Reddy_3620T	14	10	16
Reddy_3622T	10	10	12
Reddy_3623T	1	0	2
Reddy_3624T	3	2	2
Reddy_3625T	3	2	19
Reddy_3627T	8	6	10
Reddy_3628T	10	10	5
Reddy_3629T	2	4	3
Reddy_3630T	4	0	6
Reddy_3631T	2	4	4
Reddy_3632T	1	6	5
Reddy_3634T	1	2	5
Reddy_3635T	1	2	5
Reddy_3636T	22	8	3
Reddy_3637T	2	11	1
Reddy_3638T	1	2	5
Reddy_3639T	11	5	3
Reddy_3640T	11	1	5
Reddy_3642T	1	0	5
Reddy_3643T	1	1	4
Reddy_3644T	6	6	2
Reddy_3645T	2	1	0
Reddy_3646T	0	1	0
Reddy_3647T	4	3	7
Reddy_3648T	0	2	4
Reddy_3649T	3	2	4
Reddy_3651T	6	2	1
Reddy_3652T	0	0	7
Reddy_3653T	9	5	7
Reddy_3654T	7	6	10
Reddy_3655T	10	10	6
Reddy_3656T	4	0	4
Reddy_3657T	0	0	2
Reddy_3659T	5	5	1
Reddy_3660T	2	1	5
Reddy_3661T	5	3	4
Reddy_3662T	0	1	2
Reddy_3663T	2	1	2
Reddy_3664T	12	8	3
Reddy_3665T	2	0	3
Reddy_3666T	6	7	4
Reddy_3667T	5	11	2
Reddy_3668T	0	0	3
Reddy_3669T	11	10	7
Reddy_3671T	4	3	6
Reddy_3672T	4	3	7
Reddy_3673T	4	6	4
Reddy_3674T	4	10	6
Reddy_3675T	1	1	9
Reddy_3677T	4	2	2
Reddy_3679T	1	2	5
Reddy_3680T	4	2	2
Reddy_3681T	1	1	4
Reddy_3682T	1	2	11
Reddy_3683T	4	2	7
Reddy_3684T	13	12	3
Reddy_3685T	3	1	2
Reddy_3686T	5	1	3
Reddy_3687T	0	1	5
Reddy_3688T	6	3	5
Reddy_3689T	1	3	3
Reddy_3691T	3	2	3
Reddy_3692T	1	6	3
Reddy_3693T	4	1	4
Reddy_3694T	5	3	3
Reddy_3696T	6	1	0
Reddy_3697T	1	2	3
Reddy_3698T	1	5	2
Reddy_3699T	10	13	4
Reddy_3700T	1	0	5
Reddy_3701T	7	1	5
Reddy_3703T	6	4	5
Reddy_3704T	5	1	3
Reddy_3706T	3	4	2
Reddy_3707T	2	0	3
Reddy_3708T	2	5	1
Reddy_3709T	5	4	1
Reddy_3711T	10	3	2
Reddy_3712T	12	8	4
Reddy_3713T	4	2	3
Reddy_3715T	6	3	4
Reddy_3716T	1	6	0
Reddy_3717T	3	6	3
Reddy_3718T	9	6	2
Reddy_3719T	2	2	0
Reddy_3721T	8	3	3
Reddy_3722T	1	0	2
Reddy_3724T	8	3	3
Reddy_3725T	10	5	2
Reddy_3726T	2	2	4
Reddy_3727T	3	3	1
Reddy_3728T	1	5	4
Reddy_3729T	5	5	0
Reddy_3730T	0	1	1
Reddy_3731T	1	1	2
Reddy_3732T	3	7	3
Reddy_3733T	8	5	2
Reddy_3734T	5	5	5
Reddy_3735T	0	0	1
Reddy_3736T	4	0	2
Reddy_3737T	2	7	2
Reddy_3739T	1	6	1
Reddy_3740T	4	2	5
Reddy_3741T	2	7	0
Reddy_3742T	0	0	4
Reddy_3743T	1	2	7
Reddy_3745T	12	14	5
Reddy_3746T	14	3	1
Reddy_3747T	1	1	2
Reddy_3748T	3	1	0
Reddy_3749T	2	4	3
Reddy_3750T	3	4	2
Reddy_3751T	0	0	2
Reddy_3753T	3	2	1
Reddy_3754T	3	2	6
Reddy_3755T	5	0	5
Reddy_3756T	5	6	1
Reddy_3757T	8	5	2
Reddy_3758T	7	5	1
Reddy_3759T	7	9	2
Reddy_3760T	2	8	4
Reddy_3761T	6	4	3
Reddy_3762T	1	0	4
Reddy_3763T	2	0	3
Reddy_3764T	1	5	3
Reddy_3765T	4	3	0
Reddy_3766T	5	0	6
Reddy_3767T	2	0	1
Reddy_3770T	0	1	7
Reddy_3771T	2	0	3
Reddy_3775T	0	1	3
Reddy_3776T	2	4	5
Reddy_3777T	3	2	6
Reddy_3778T	2	4	6
Reddy_3779T	4	6	1
Reddy_3780T	1	1	4
Reddy_3781T	1	0	3
Reddy_3782T	12	7	5
Reddy_3783T	7	6	2
Reddy_3784T	5	4	0
Reddy_3785T	20	7	2
Reddy_3786T	2	0	4
Reddy_3787T	3	2	3
Reddy_3810T	0	0	3
Reddy_3811T	4	7	1
Reddy_3812T	7	13	2
Reddy_3813T	0	0	4
Reddy_3814T	2	2	0
Reddy_3815T	0	3	4
Reddy_3816T	10	11	5
Reddy_3817T	6	4	3
Reddy_3819T	4	4	2
Reddy_3820T	9	4	7
Reddy_3821T	6	0	1
Reddy_3822T	3	1	4
Reddy_3823T	2	4	1
Reddy_3824T	3	2	3
Reddy_3825T	21	3	3
Reddy_3826T	15	12	6
Reddy_3827T	0	0	2
Reddy_3828T	1	2	0
Reddy_3829T	2	2	3
Reddy_3830T	1	1	2
Reddy_3831T	4	7	1
Reddy_3832T	7	6	1
Reddy_3833T	7	7	6
Reddy_3834T	28	17	8
Reddy_3835T	9	10	1
Reddy_3836T	0	1	1
Reddy_3837T	10	12	12
Reddy_3838T	5	4	0
Reddy_3839T	2	5	0
Reddy_3840T	3	6	2
Reddy_3842T	7	7	0
Reddy_3843T	4	4	1
Reddy_3845T	5	8	1
Reddy_3846T	0	2	7
Reddy_3847T	0	2	0
Reddy_3848T	2	9	0
Reddy_3849T	12	5	3
Reddy_3851T	2	8	0
Reddy_3852T	2	3	1
Reddy_3854T	6	0	3
Reddy_3856T	16	11	1
Reddy_3857T	0	0	3
Reddy_3859T	4	7	3
Reddy_3861T	4	5	0
Reddy_3865T	0	4	2
Reddy_3867T	4	6	5
Reddy_3871T	4	3	5
Reddy_3872T	9	14	4
Reddy_3873T	4	5	2
Reddy_3875T	2	8	1
Reddy_3876T	0	7	1
Reddy_3879T	3	4	1
Reddy_3880T	3	6	2
Reddy_3881T	2	6	3
Reddy_3882T	9	6	2
Reddy_3883T	1	2	4
Reddy_3885T	5	10	1
Reddy_3886T	1	6	7
Reddy_3887T	6	8	6
Reddy_3888T	4	7	0
Reddy_3889T	4	2	1
Reddy_3891T	0	0	1
Reddy_3892T	4	4	2
Reddy_3893T	5	7	4
Reddy_3894T	1	1	1
Reddy_3895T	0	5	0
Reddy_3896T	5	12	2
Reddy_3898T	4	6	1
Reddy_3899T	1	0	1
Reddy_3900T	0	1	3
Reddy_3901T	6	10	4
Reddy_3902T	1	4	0
Reddy_3903T	1	2	6
Reddy_3904T	6	5	2
Reddy_3905T	4	3	1
Reddy_3906T	6	0	5
Reddy_3907T	1	0	4
Reddy_3908T	1	1	2
Reddy_3909T	2	2	3
Reddy_3910T	1	0	0
Reddy_3911T	2	1	5
Reddy_3912T	1	1	1
Reddy_3913T	2	2	4
Reddy_3914T	5	4	6
Reddy_3915T	0	2	3
Reddy_3916T	8	2	12
Reddy_3917T	4	0	2
Reddy_3918T	7	5	4
Reddy_3919T	0	1	4
Reddy_3920T	3	0	4
Reddy_3921T	1	0	4
Reddy_3922T	0	0	2
Reddy_3923T	9	11	4
Reddy_3924T	5	8	4
Reddy_3925T	9	5	2
Reddy_3926T	0	1	4
Reddy_3927T	5	5	3
Reddy_3928T	4	5	1
Reddy_3929T	2	1	10
Reddy_3930T	1	5	5
Reddy_3931T	3	0	4
Reddy_3932T	11	10	3
Reddy_3933T	10	14	3
Reddy_3935T	7	2	2
Reddy_3936T	2	4	3
Reddy_3937T	10	6	3
Reddy_3938T	4	0	2
Reddy_3939T	10	6	4
Reddy_3940T	4	5	5
Reddy_3941T	3	5	3
Reddy_3942T	2	0	7
Reddy_3943T	1	1	5
Reddy_3944T	7	4	11
Reddy_3945T	1	0	9
Reddy_3946T	14	8	2
Reddy_3948T	7	4	3
Reddy_3949T	0	1	0
Reddy_3950T	0	0	6
Reddy_3951T	1	3	3
Reddy_3952T	14	6	2
Reddy_3953T	2	0	3
